NOM,ADRECA,CATEGORIA,TIPUS,WKT,LAT,LNG
"Parada de taxi - Parc de Cerdanyola","","Mobilitat","Parada de taxi","POINT (2.42593070913894 41.5399325008266)","41,5399325008266","2,42593070913894"
"Lavabo públic - Nou Parc Central","","Lavabos públics","Lavabo adaptat","POINT (2.43808207513542 41.5433405908614)","41,5433405908614","2,43808207513542"
"Parada de taxi - Muralla de Sant Llorenç","","Mobilitat","Parada de taxi","POINT (2.44458013498327 41.5383915186837)","41,5383915186837","2,44458013498327"
"Servei de Formacíó i Inserció (SEFI)","Carrer de Galícia, 191. 08304 Mataró (BARCELONA)","Serveis socials","Centres per a persones amb discapacitat","POINT (2.42586484903561 41.5568763780935)","41,5568763780935","2,42586484903561"
"Església Betània","Ronda de Sant Oleguer, 122. 08304 Mataró (BARCELONA)","Serveis religiosos","Església Evangèlica","POINT (2.44793524661574 41.5519608339384)","41,5519608339384","2,44793524661574"
"Poliesportiu Municipal Jaume Parera i León","Avinguda del Corregiment de Mataró, 62. 08304 Mataró (BARCELONA)","Esports","Pistes i Poliesportius","POINT (2.43763525931364 41.5471134945806)","41,5471134945806","2,43763525931364"
"Servei de Mediació Ciutadana","Avinguda de Lluís Companys, 21. 08302 Mataró (BARCELONA)","Administració municipal","Àrea d'Acció Social","POINT (2.43163900297604 41.535752394864)","41,535752394864","2,43163900297604"
"Ballenoil","Camí del Sant Crist, 32. 08302 Mataró (BARCELONA)","Mobilitat","Benzineres","POINT (2.42723481323615 41.5319178806275)","41,5319178806275","2,42723481323615"
"Gabinet d'Alcaldia","La Riera, 48. 08301 Mataró (BARCELONA)","Administració municipal","Alcaldia","POINT (2.44477763596592 41.5398389598186)","41,5398389598186","2,44477763596592"
"Servei d'Educació","Baixada de les Figueretes, 1. 08301 Mataró (BARCELONA)","Administració municipal","Àrea de Serveis a les Persones","POINT (2.44832796708392 41.5404221145694)","41,5404221145694","2,44832796708392"
"Parada de taxi - Avinguda del Perú","","Mobilitat","Parada de taxi","POINT (2.44787822673481 41.5481037068482)","41,5481037068482","2,44787822673481"
"Parada de taxi - Mataró Parc","","Mobilitat","Parada de taxi","POINT (2.43275737115727 41.5544294820975)","41,5544294820975","2,43275737115727"
"Parada de taxi - Hospital de Mataró","","Mobilitat","Parada de taxi","POINT (2.42948332144851 41.5561857322138)","41,5561857322138","2,42948332144851"
"Aparcament lliure - Ronda de Bellavista","","Mobilitat","Aparcament lliure","POINT (2.42053795117873 41.5421452205452)","41,5421452205452","2,42053795117873"
"Aparcament lliure - Riera de Figuera Major","","Mobilitat","Aparcament lliure","POINT (2.440291384107 41.5501854350571)","41,5501854350571","2,440291384107"
"Aparcament lliure - Riera de Figuera Major","","Mobilitat","Aparcament lliure","POINT (2.44248921612227 41.5542959852687)","41,5542959852687","2,44248921612227"
"Aparcament lliure - Passeig marítim","","Mobilitat","Aparcament lliure","POINT (2.45317705044705 41.5381922370054)","41,5381922370054","2,45317705044705"
"Oficina Tècnica de Joventut","Plaça de Miquel Biada, 5. 08301 Mataró (BARCELONA)","Administració municipal","Àrea d'Acció Social","POINT (2.44487432289565 41.5334985803649)","41,5334985803649","2,44487432289565"
"Base Nàutica Municipal","Passeig Marítim, 250. 08302 Mataró (BARCELONA)","Esports","Altres -instal·lacions esportives-","POINT (2.44615622879461 41.5332485632208)","41,5332485632208","2,44615622879461"
"Llar d'infants Petit Somni","Camí Ral, 371. 08301 Mataró (BARCELONA)","Educació","Llars d'infants privades","POINT (2.44499718928763 41.5373655405581)","41,5373655405581","2,44499718928763"
"Arxiu municipal","Carrer d'En Palau, 32. 08301 Mataró (BARCELONA)","Administració municipal","Àrea de Serveis Centrals, Ocupació i Promoció Econòmica","POINT (2.44607047092417 41.5400209606537)","41,5400209606537","2,44607047092417"
"Farmàcia Ruiz-Carrillo Fité","Ronda de la Roca Blanca, 1. 08303 Mataró (BARCELONA)","Serveis sanitaris","Farmàcies","POINT (2.42928416351033 41.5433837143846)","41,5433837143846","2,42928416351033"
