CODI_INTERN,TIPUS_OCUPACIO,DATA_INICI,DATA_FI,DURADA,LAT,LNG,WKT
"5120700926453110107130","SAC DE RUNA","03/10/2018","03/10/2018","1","41.5401123068589","2.44447789365586","POINT (2.44447789365586 41.5401123068589)"
"5120700926418745107130","SAC DE RUNA","01/10/2018","02/10/2018","2","41.5362451692207","2.42643832674613","POINT (2.42643832674613 41.5362451692207)"
"5120700926638368607130","CÀRREGA I DESCÀRREGA DE MATERIALS","17/10/2018","17/10/2018","1","41.5457787198423","2.44678673531989","POINT (2.44678673531989 41.5457787198423)"
"5120700926638721107130","PARADES TEMPORALS","12/10/2018","01/01/2019","82","41.5380713854401","2.44504187288797","POINT (2.44504187288797 41.5380713854401)"
"5120700926915153107130","MUDANÇA","09/11/2018","09/11/2018","1","41.5516543421815","2.44742068698923","POINT (2.44742068698923 41.5516543421815)"
"5120700926915255107130","RASES I CATES","07/11/2018","14/11/2018","8","41.549530909687","2.434074403865","POINT (2.434074403865 41.549530909687)"
"5120700927022055107130","MUDANÇA","15/11/2018","15/11/2018","1","41.5486141949294","2.44119600437335","POINT (2.44119600437335 41.5486141949294)"
"5120700927038836107130","ACTES DIVERSOS AL CARRER","01/12/2018","01/12/2018","1","41.5475187441156","2.45107016916028","POINT (2.45107016916028 41.5475187441156)"
"5120700920027176607130","RASES I CATES","07/02/2018","14/02/2018","8","41.5548570986781","2.44314150123829","POINT (2.44314150123829 41.5548570986781)"
"5120700920479113107130","MUDANÇA","24/02/2018","25/02/2018","2","41.5462264232037","2.44669285052689","POINT (2.44669285052689 41.5462264232037)"
"5120700920561050607130","MUDANÇA","24/02/2018","24/02/2018","1","41.5384650574162","2.43820248274482","POINT (2.43820248274482 41.5384650574162)"
"5120700920561056607130","MUDANÇA","24/02/2018","24/02/2018","1","41.5371042261737","2.44279508684413","POINT (2.44279508684413 41.5371042261737)"
"5120700920797456607130","ACTES CULTURALS","30/03/2018","30/03/2018","1","41.5437712240532","2.44735791351396","POINT (2.44735791351396 41.5437712240532)"
"5120700920852282607130","CONTENIDOR DE RUNA","05/03/2018","09/03/2018","5","41.5381375887683","2.42266222201232","POINT (2.42266222201232 41.5381375887683)"
"5120700921318663607130","CÀRREGA I DESCÀRREGA DE MATERIALS","22/03/2018","06/04/2018","16","41.5310548768809","2.44008272125001","POINT (2.44008272125001 41.5310548768809)"
"5120700921842043107130","REHABILITACIÓ DE CONSTRUCCIONS","12/04/2018","12/04/2018","1","41.5346569723175","2.4320498727714","POINT (2.4320498727714 41.5346569723175)"
"5120700921845517107130","MUDANÇA","13/04/2018","13/04/2018","1","41.546552289178","2.43251890359492","POINT (2.43251890359492 41.546552289178)"
"5120700922114887607130","CÀRREGA I DESCÀRREGA DE MATERIALS","23/04/2018","24/04/2018","2","41.5458433751513","2.44640712236129","POINT (2.44640712236129 41.5458433751513)"
"5120700922158610607130","MUDANÇA","27/04/2018","27/04/2018","1","41.5325585086849","2.43468891958219","POINT (2.43468891958219 41.5325585086849)"
"5120700922376697607130","CONTENIDOR DE RUNA","09/05/2018","15/05/2018","7","41.5375799736841","2.42644254563158","POINT (2.42644254563158 41.5375799736841)"
"5120700922594649107130","RESERVES D' ESTACIONAMENT","14/05/2018","18/05/2018","5","41.5422840472037","2.44344891200795","POINT (2.44344891200795 41.5422840472037)"
"5120700923061159107130","RESERVES D' ESTACIONAMENT","14/06/2018","20/06/2018","7","41.5372546966406","2.44474190152658","POINT (2.44474190152658 41.5372546966406)"
"5120700923080384607130","REHABILITACIÓ DE CONSTRUCCIONS","12/06/2018","12/06/2018","1","41.5387454632815","2.43836882249699","POINT (2.43836882249699 41.5387454632815)"
