CODI_ACCES,ADRECA,EPIGRAF_IAE,EPIGRAF_DESC,LAT,LNG,WKT
"100700900054806707130","C. d'Argentona, 18","6532","COM.MEN.APARATOS DE USO DOMESTICO","41.5411307567861","2.44330577876995","POINT (2.44330577876995 41.5411307567861)"
"100700900052912307130","C. de l'Abat Francesc Dorda, 18","6597","COM.MEN.SEMILLAS,ABONOS,FLORES,PLANTAS","41.5468771907874","2.4408471478373","POINT (2.4408471478373 41.5468771907874)"
"100700900053711507130","RONDA d'Alfons X el Savi, 129","6541","COM.MEN.VEHICULOS TERRESTRES","41.5458168425295","2.44981568331753","POINT (2.44981568331753 41.5458168425295)"
"100700900053674007130","RONDA d'Alfons X el Savi, 83","6732","OTROS CAFES Y BARES","41.5459185600467","2.44686490044305","POINT (2.44686490044305 41.5459185600467)"
"100700900053654307130","RONDA d'Alfons X el Savi, 78","6532","COM.MEN.APARATOS DE USO DOMESTICO","41.5457408937867","2.44684935043793","POINT (2.44684935043793 41.5457408937867)"
"100700900053250907130","RONDA d'Alfons XII, 15","6732","OTROS CAFES Y BARES","41.5345196947153","2.43988896183037","POINT (2.43988896183037 41.5345196947153)"
"100700900053712407130","RONDA d'Alfons X el Savi, 131","6732","OTROS CAFES Y BARES","41.5458059911773","2.45001969421244","POINT (2.45001969421244 41.5458059911773)"
"100700900053454407130","RONDA d'Alfons X el Savi, 20","6521","FARMACIAS","","",""
"100700900052897207130","C. de l'Abat Francesc Dorda, 6","4354","FAB. PRENDAS EXTERIORES DE PUNTO","41.5471463069619","2.44142798119438","POINT (2.44142798119438 41.5471463069619)"
"100700900053006007130","C. d'Alarona, 17","6472","COM.MEN.PTOS.ALIMENTICIOS MENOS 120 M2","41.5351933061463","2.43207629307745","POINT (2.43207629307745 41.5351933061463)"
"100700900053712407130","RONDA d'Alfons X el Savi, 131","9311","GUARDERIA Y ENSENANZA INFANTIL,EXCLUSIV.","41.5458059911773","2.45001969421244","POINT (2.45001969421244 41.5458059911773)"
"100700900053142507130","PL. de Manuel Serra i Xifra, 8","6732","OTROS CAFES Y BARES","41.5368780410493","2.43096714751923","POINT (2.43096714751923 41.5368780410493)"
"100700900053632407130","RONDA d'Alfons X el Savi, 70","8321","AGENCIAS DE SEGUROS Y CORREDURIAS","41.5457091766273","2.4465348062834","POINT (2.4465348062834 41.5457091766273)"
"100700900053722207130","RONDA d'Alfons X el Savi, 135","6441","COM.MEN.PAN,PASTELES,CONFITERIA,LACTEOS","41.5457966812574","2.45019469644939","POINT (2.45019469644939 41.5457966812574)"
"100700900053709907130","RONDA d'Alfons X el Savi, 120","6541","COM.MEN.VEHICULOS TERRESTRES","41.5456331624054","2.44986264172749","POINT (2.44986264172749 41.5456331624054)"
"100700900053664107130","RONDA d'Alfons X el Savi, 81","6779","OTROS SERV. ALIMENTACION - RESTAURACION","41.5458985215436","2.44663240713929","POINT (2.44663240713929 41.5458985215436)"
"100700900053392207130","RONDA d'Alfons X el Savi, 10","9721","SERV. PELUQUERIA SENORAS Y CABALLEROS","41.5450243242392","2.44335311666385","POINT (2.44335311666385 41.5450243242392)"
"100700900053248707130","RONDA d'Alfons XII, 10","873","EXPENDEDORES NO OFICIALES APUESTAS","41.5346262649404","2.44008454273382","POINT (2.44008454273382 41.5346262649404)"
