ZONA,CODI_US,DESCRIPCIO_US,LAT,LNG,WKT
"Usos Sòl","ZV","Zona Verda","41,533384938951","2,44660854871271","POINT (2.44660854871271 41.533384938951)"
"Usos Sòl","ZV","Zona Verda","41,532087879149","2,44580335557003","POINT (2.44580335557003 41.532087879149)"
"Usos Sòl","INT","Interior","41,531378983584","2,44469158247596","POINT (2.44469158247596 41.531378983584)"
"Usos Sòl","INT","Interior","41,5317599699096","2,44518230916615","POINT (2.44518230916615 41.5317599699096)"
"Usos Sòl","INT","Interior","41,5321326721853","2,44567394939493","POINT (2.44567394939493 41.5321326721853)"
"Usos Sòl","INT","Interior","41,5337673212572","2,43822499705457","POINT (2.43822499705457 41.5337673212572)"
"Usos Sòl","INT","Interior","41,5331329678063","2,43855544503022","POINT (2.43855544503022 41.5331329678063)"
"Usos Sòl","INT","Interior","41,5335185831498","2,43914516913339","POINT (2.43914516913339 41.5335185831498)"
"Usos Sòl","INT","Interior","41,5332458820127","2,43898791307526","POINT (2.43898791307526 41.5332458820127)"
"Usos Sòl","INT","Interior","41,5340551523161","2,43966198864751","POINT (2.43966198864751 41.5340551523161)"
"Usos Sòl","EQ","Equipament","41,5369834649035","2,42921501640517","POINT (2.42921501640517 41.5369834649035)"
"Usos Sòl","EQ","Equipament","41,5374610016132","2,42588126641593","POINT (2.42588126641593 41.5374610016132)"
"Usos Sòl","EQ","Equipament","41,5371772874537","2,42551323933336","POINT (2.42551323933336 41.5371772874537)"
"Usos Sòl","ESC","Escola","41,5366044765523","2,4283213221164","POINT (2.4283213221164 41.5366044765523)"
"Usos Sòl","ZV","Zona Verda","41,5390406809538","2,45326885805154","POINT (2.45326885805154 41.5390406809538)"
"Usos Sòl","ZV","Zona Verda","41,5390684067017","2,45330987518142","POINT (2.45330987518142 41.5390684067017)"
"Usos Sòl","FONS","Fons","41,534666579847","2,44935611961133","POINT (2.44935611961133 41.534666579847)"
"Usos Sòl","ZV","Zona Verda","41,5387090702525","2,45380421573361","POINT (2.45380421573361 41.5387090702525)"
"Usos Sòl","ZV","Zona Verda","41,5386874056242","2,45395229583218","POINT (2.45395229583218 41.5386874056242)"
"Usos Sòl","INT","Interior","41,5325048101897","2,44616465829721","POINT (2.44616465829721 41.5325048101897)"
"Usos Sòl","INT","Interior","41,5328770628572","2,44665544489484","POINT (2.44665544489484 41.5328770628572)"
"Usos Sòl","INT","Interior","41,5345749267036","2,44345033687136","POINT (2.44345033687136 41.5345749267036)"
"Usos Sòl","INT","Interior","41,5353263676372","2,44262592366162","POINT (2.44262592366162 41.5353263676372)"
"Usos Sòl","INT","Interior","41,5356503944667","2,44170208918684","POINT (2.44170208918684 41.5356503944667)"
"Usos Sòl","INT","Interior","41,5360844516813","2,44120644723613","POINT (2.44120644723613 41.5360844516813)"
"Usos Sòl","INT","Interior","41,5369473053679","2,44026573190379","POINT (2.44026573190379 41.5369473053679)"
"Usos Sòl","INT","Interior","41,5361929314661","2,43924167874763","POINT (2.43924167874763 41.5361929314661)"
"Usos Sòl","INT","Interior","41,5357604759894","2,43973821507927","POINT (2.43973821507927 41.5357604759894)"
"Usos Sòl","INT","Interior","41,5365203795154","2,44073945098275","POINT (2.44073945098275 41.5365203795154)"
"Usos Sòl","INT","Interior","41,5369457369235","2,441556052089","POINT (2.441556052089 41.5369457369235)"
"Usos Sòl","ZV","Zona Verda","41,5309209846982","2,4237691935588","POINT (2.4237691935588 41.5309209846982)"
"Usos Sòl","ZV","Zona Verda","41,5308483202207","2,42353745384935","POINT (2.42353745384935 41.5308483202207)"
"Usos Sòl","EQ","Equipament","41,5320479751462","2,4224511650327","POINT (2.4224511650327 41.5320479751462)"
"Usos Sòl","ZV","Zona Verda","41,5386970682323","2,45397060809234","POINT (2.45397060809234 41.5386970682323)"
"Usos Sòl","ZV","Zona Verda","41,5384106774032","2,45413112705671","POINT (2.45413112705671 41.5384106774032)"
"Usos Sòl","ZV","Zona Verda","41,5384087358806","2,45384467270059","POINT (2.45384467270059 41.5384087358806)"
"Usos Sòl","VIA","Vials","41,5380576421477","2,45442681067203","POINT (2.45442681067203 41.5380576421477)"
"Usos Sòl","INT","Interior","41,5337128135097","2,44426845440306","POINT (2.44426845440306 41.5337128135097)"
"Usos Sòl","ZV","Zona Verda","41,5334751529667","2,44501894116613","POINT (2.44501894116613 41.5334751529667)"
"Usos Sòl","EQ","Equipament","41,5333283885198","2,44483275908746","POINT (2.44483275908746 41.5333283885198)"
"Usos Sòl","ECAT","Edifici Catalogat","41,5337391531289","2,4446515519626","POINT (2.4446515519626 41.5337391531289)"
"Usos Sòl","ZV","Zona Verda","41,5338943555539","2,44558725720148","POINT (2.44558725720148 41.5338943555539)"
"Usos Sòl","INT","Interior","41,5304647361272","2,43053735919239","POINT (2.43053735919239 41.5304647361272)"
"Usos Sòl","INT","Interior","41,5322266035657","2,43077129720653","POINT (2.43077129720653 41.5322266035657)"
"Usos Sòl","INT","Interior","41,5313798367424","2,42942387719593","POINT (2.42942387719593 41.5313798367424)"
"Usos Sòl","EQ","Equipament","41,5463810824949","2,45067005104239","POINT (2.45067005104239 41.5463810824949)"
"Usos Sòl","FONS","Fons","41,5424609789437","2,41663029593368","POINT (2.41663029593368 41.5424609789437)"
"Usos Sòl","FONS","Fons","41,541938827627","2,4170330902348","POINT (2.4170330902348 41.541938827627)"
"Usos Sòl","ZV","Zona Verda","41,53457994947","2,42246060114057","POINT (2.42246060114057 41.53457994947)"
"Usos Sòl","INT","Interior","41,5389406015519","2,45422039590228","POINT (2.45422039590228 41.5389406015519)"
"Usos Sòl","INT","Interior","41,5392988671078","2,4544706892151","POINT (2.4544706892151 41.5392988671078)"
"Usos Sòl","ZV","Zona Verda","41,5395894938363","2,45505485663047","POINT (2.45505485663047 41.5395894938363)"
"Usos Sòl","VIA","Vials","41,5392484749826","2,45596095653807","POINT (2.45596095653807 41.5392484749826)"
"Usos Sòl","EQ","Equipament","41,5399745551386","2,45618505460568","POINT (2.45618505460568 41.5399745551386)"
"Usos Sòl","EQ","Equipament","41,5399927518935","2,45615465660421","POINT (2.45615465660421 41.5399927518935)"
"Usos Sòl","TR","Transit Reduït","41,5342719597134","2,44506333502323","POINT (2.44506333502323 41.5342719597134)"
"Usos Sòl","ZV","Zona Verda","41,5323044776646","2,44341925909058","POINT (2.44341925909058 41.5323044776646)"
