ZONA,AREA,PERIMETRE,AMPLADA,ALCADA,LAT,LNG,WKT
"Càrrega i Descàrrega","35,35222","30,11669","12,14829","2,91006","41,5335908271821","2,43936025859145","POLYGON ((2.43929672737146 41.5336205954123, 2.43939894411826 41.5335426606764, 2.43942378975337 41.5335610589163, 2.43932157300694 41.533638993674, 2.43929672737146 41.5336205954123))"
"Càrrega i Descàrrega","64,75489","58,77855","26,99006","2,39921","41,5305033982157","2,43829283072521","POLYGON ((2.43814546213694 41.5304521283627, 2.43844992387552 41.5305343309009, 2.43844019954786 41.5305546678808, 2.43813573772681 41.5304724653166, 2.43814546213694 41.5304521283627))"
"Càrrega i Descàrrega","26,1609","26,60075","10,90038","2,4","41,5333923740656","2,44266678720389","POLYGON ((2.44270565998921 41.5334332827323, 2.44260864327988 41.5333675157587, 2.44262791446747 41.5333514653857, 2.44272493117268 41.5334172323433, 2.44270565998921 41.5334332827323))"
"Càrrega i Descàrrega","32,51157","29,74835","12,21189","2,66229","41,5525167203305","2,44780424679027","POLYGON ((2.44782124537841 41.552571541197, 2.44775841385769 41.5524721888452, 2.4477872482304 41.5524618994609, 2.44785007978566 41.5525612517975, 2.44782124537841 41.552571541197))"
"Càrrega i Descàrrega","25,13926","25,61415","10,38676","2,42032","41,5509792821924","2,45027751282285","POLYGON ((2.45032980059327 41.5509516392531, 2.4502468772988 41.551021440192, 2.45022522500802 41.5510069251076, 2.4503081483069 41.5509371241842, 2.45032980059327 41.5509516392531))"
"Càrrega i Descàrrega","36,17588","35,49817","2,34908","15,4","41,5491518686587","2,44999576762805","POLYGON ((2.45008580447875 41.5491705023145, 2.45007431457171 41.5491898200382, 2.44990573082976 41.5491332349328, 2.4499172207766 41.549113917226, 2.45008580447875 41.5491705023145))"
"Càrrega i Descàrrega","37,79673","35,88571","15,50517","2,43769","41,5407754926627","2,45725269538385","POLYGON ((2.45718927218598 41.5408277029976, 2.45729173500869 41.54071117948, 2.45731611847965 41.5407232822918, 2.45721365568114 41.5408398058312, 2.45718927218598 41.5408277029976))"
"Càrrega i Descàrrega","42,27108","36,71861","2,6993","15,66","41,5407466567038","2,45380075675355","POLYGON ((2.45378504096064 41.5408172413466, 2.4537544946221 41.5408092150314, 2.45381647251149 41.5406760720576, 2.45384701879537 41.5406840983562, 2.45378504096064 41.5408172413466))"
"Càrrega i Descàrrega","41,56715","38,96388","2,43896","17,04298","41,5363277741578","2,44845345767891","POLYGON ((2.44852725898321 41.5362735809232, 2.44854452612016 41.5362913085005, 2.4483796562514 41.5363819673438, 2.4483623891359 41.5363642397422, 2.44852725898321 41.5362735809232))"
"Càrrega i Descàrrega","43,44","41","18,1","2,4","41,5383293640657","2,45028045169922","POLYGON ((2.45036405658514 41.538382425959, 2.45018133079786 41.5382945061559, 2.45019684695015 41.5382763021119, 2.45037957270773 41.5383642218905, 2.45036405658514 41.538382425959))"
"Càrrega i Descàrrega","29,80975","29,60801","12,39999","2,40401","41,5393401970001","2,44913035678626","POLYGON ((2.44917952746769 41.539296942637, 2.44910626250909 41.5393941232256, 2.44908118603923 41.5393834513412, 2.44915445102298 41.5392862707686, 2.44917952746769 41.539296942637))"
"Càrrega i Descàrrega","45,33291","35,76414","14,82399","3,05808","41,5388719971408","2,44853464342811","POLYGON ((2.44860461169993 41.5389153916069, 2.44844753051906 41.5388529492718, 2.44846467524998 41.5388286026322, 2.44862175638895 41.5388910449439, 2.44860461169993 41.5389153916069))"
"Càrrega i Descàrrega","34,08276","31,08415","2,64207","12,9","41,5391205632773","2,45282858796935","POLYGON ((2.4528685068056 41.5390694052039, 2.45289206104256 41.5390853152772, 2.45278866906989 41.5391717213358, 2.45276511482738 41.5391558112416, 2.4528685068056 41.5390694052039))"
"Càrrega i Descàrrega","18,96102","21,31453","8,4","2,25726","41,5416125530606","2,44817094638483","POLYGON ((2.44820900925443 41.5416393235281, 2.44812014989715 41.5416037224662, 2.44813288354657 41.5415857825807, 2.44822174288649 41.5416213836327, 2.44820900925443 41.5416393235281))"
"Càrrega i Descàrrega","40,07663","36,04706","15,42545","2,59809","41,5437022739552","2,4550294873344","POLYGON ((2.45498787610779 41.5437654053115, 2.45504127677576 41.5436323854709, 2.45507109847956 41.5436391425827, 2.45501769786685 41.5437721624373, 2.45498787610779 41.5437654053115))"
"Càrrega i Descàrrega","70,56","63,6","29,4","2,4","41,5399223472407","2,45300210862294","POLYGON ((2.45307645087429 41.5398018156239, 2.45295476908568 41.540050341839, 2.45292776609362 41.5400428788051, 2.45304944797102 41.5397943526189, 2.45307645087429 41.5398018156239))"
"Càrrega i Descàrrega","32,90355","27,49837","10,66359","3,0856","41,5540597440571","2,45291927770773","POLYGON ((2.45285825677683 41.554079704716, 2.4529566793929 41.5540183909296, 2.45298029860137 41.5540397833654, 2.45288187597473 41.5541010971718, 2.45285825677683 41.554079704716))"
"Càrrega i Descàrrega","28,91772","28,66923","11,90572","2,42889","41,5376039857872","2,4245100961666","POLYGON ((2.42445750522938 41.5376418428177, 2.42453874736633 41.5375536757292, 2.42456268704249 41.537566128732, 2.42448144492208 41.5376542958373, 2.42445750522938 41.5376418428177))"
"Càrrega i Descàrrega","33,84","33","14,1","2,4","41,5384200443875","2,42684355785012","POLYGON ((2.42691288536382 41.5383821519251, 2.42679481968803 41.538473035911, 2.42677423025571 41.5384579368073, 2.42689229593239 41.5383670528423, 2.42691288536382 41.5383821519251))"
"Càrrega i Descàrrega","2,36","12,6","5,9",",4","41,5373253628558","2,42700426153819","POLYGON ((2.42702569282451 41.5373465752527, 2.4269792157747 41.5373065179491, 2.42698283026584 41.537304150455, 2.42702930731622 41.5373442077573, 2.42702569282451 41.5373465752527))"
"Càrrega i Descàrrega","39,51405","31,92621","12,9","3,0631","41,5377524118927","2,42775938518099","POLYGON ((2.42783233234349 41.5377287178126, 2.42770840168218 41.5377982160222, 2.42768643796566 41.5377761059259, 2.42781036860774 41.5377066077396, 2.42783233234349 41.5377287178126))"
"Càrrega i Descàrrega","41,9087","33,2382","13,51915","3,09995","41,5449153130202","2,45454349769554","POLYGON ((2.45450316360519 41.5449699351526, 2.45454812411519 41.5448529457666, 2.45458383171765 41.5448606908728, 2.45453887126634 41.5449776802729, 2.45450316360519 41.5449699351526))"
"Càrrega i Descàrrega",",29818","2,29119",",74577",",39982","41,5374185142981","2,42828590154012","POLYGON ((2.42828407862488 41.53741495811, 2.42829085247452 41.537419341879, 2.42828772445557 41.5374220704861, 2.42828095060584 41.5374176867169, 2.42828407862488 41.53741495811))"
"Càrrega i Descàrrega",",15608","1,5803",",39508",",39508","41,5374221327733","2,42829262860854","POLYGON ((2.42829245324355 41.5374196200102, 2.42829597294298 41.5374220010129, 2.42829280397354 41.5374246455363, 2.42828928427409 41.5374222645335, 2.42829245324355 41.5374196200102))"
"Càrrega i Descàrrega","21,74897","22,39919","8,6996","2,5","41,5533264096905","2,4406824135622","POLYGON ((2.4407077190523 41.5533624709565, 2.4406354818979 41.5533059416209, 2.44065710810008 41.553290348419, 2.44072934525625 41.5533468777412, 2.4407077190523 41.5533624709565))"
"Càrrega i Descàrrega","24,24874","24,39899","9,6995","2,5","41,5506283598172","2,4423050537998","POLYGON ((2.44236451831866 41.5506346456997, 2.44224895302429 41.5506444492989, 2.44224558929279 41.5506220739041, 2.44236115454774 41.550612270308, 2.44236451831866 41.5506346456997))"
"Càrrega i Descàrrega","26,15096","25,64578","10,2787","2,54419","41,5514501021385","2,44113362116646","POLYGON ((2.4411382005667 41.5514025390792, 2.44115910570876 41.5514937782263, 2.44112904175912 41.5514976651973, 2.4411081366582 41.5514064260451, 2.4411382005667 41.5514025390792))"
"Càrrega i Descàrrega","42,76971","39,50387","17,27631","2,47563","41,5521663728949","2,43980942906204","POLYGON ((2.43990037716685 41.5521275085983, 2.43973667003468 41.5522228586828, 2.4397184808488 41.5522052371186, 2.43988218796266 41.5521098870596, 2.43990037716685 41.5521275085983))"
"Càrrega i Descàrrega","35,5694","33,58349","14,3053","2,48645","41,5451119176171","2,44344779862071","POLYGON ((2.44352131998851 41.5451469195238, 2.44336286803994 41.5450976061124, 2.44337427733251 41.5450769156635, 2.44353272923957 41.5451262290592, 2.44352131998851 41.5451469195238))"
"Càrrega i Descàrrega","27,52733","27,02187","11,01093","2,5","41,5341266695488","2,44204189975647","POLYGON ((2.44200169182652 41.534085767286, 2.44210167258071 41.5341505150342, 2.4420821077369 41.5341675717975, 2.44198212697634 41.5341028240324, 2.44200169182652 41.534085767286))"
"Càrrega i Descàrrega","42,62752","39,10204","17,05102","2,5","41,5330794635964","2,4391127181394","POLYGON ((2.43916986762511 41.5331441120629, 2.43903327572294 41.53302986332, 2.43905556876717 41.5330148151015, 2.4391921606775 41.5331290638184, 2.43916986762511 41.5331441120629))"
"Càrrega i Descàrrega","43,35073","39,68058","17,34029","2,5","41,5335689756554","2,43858164304639","POLYGON ((2.43852171420394 41.5335041875529, 2.43866348741296 41.5336184053238, 2.43864157200802 41.5336337637266, 2.43849979880461 41.5335195459289, 2.43852171420394 41.5335041875529))"
"Càrrega i Descàrrega","29,78414","29,60389","12,4","2,40195","41,5390760519173","2,42322912679544","POLYGON ((2.42317549507506 41.5391161995995, 2.42325892646847 41.5390237618933, 2.42328275844952 41.5390359042094, 2.42319932707405 41.5391283419329, 2.42317549507506 41.5391161995995))"
"Càrrega i Descàrrega","23,76","24,6","9,9","2,4","41,5381162692562","2,42120920272435","POLYGON ((2.42126570463269 41.5381336602296, 2.42114837371635 41.5381202492891, 2.42115270084653 41.5380988782554, 2.42127003172524 41.5381122891913, 2.42126570463269 41.5381336602296))"
"Càrrega i Descàrrega","26,04554","26,31371","10,72935","2,4275","41,5354471849229","2,4352406346123","POLYGON ((2.4352952796556 41.5354194628349, 2.4352071935357 41.5354898813757, 2.43518598952243 41.5354749069845, 2.43527407564466 41.5354044884597, 2.4352952796556 41.5354194628349))"
"Càrrega i Descàrrega","26,04554","26,31371","10,72935","2,4275","41,5364361960197","2,43401682778005","POLYGON ((2.43407147417672 41.5364084745265, 2.43398338538584 41.5364788921011, 2.4339621813369 41.5364639174864, 2.43405027013009 41.536393499928, 2.43407147417672 41.5364084745265))"
"Càrrega i Descàrrega","87,84141","43,33448","16,2674","5,39984","41,5361239036727","2,43382167753322","POLYGON ((2.43387371907627 41.5361904584603, 2.43372699678399 41.5360939428364, 2.43376963609639 41.5360573488613, 2.43391635837057 41.5361538644312, 2.43387371907627 41.5361904584603))"
"Càrrega i Descàrrega","46,92049","45,48833","20,44974","2,29443","41,5350605316934","2,43159754053477","POLYGON ((2.43164922789194 41.534976388002, 2.43157195514306 41.5351511897231, 2.43154585304264 41.5351446753593, 2.43162312585367 41.534969873656, 2.43164922789194 41.534976388002))"
"Càrrega i Descàrrega","36,96","35,6","15,4","2,4","41,5348370047798","2,43200060100482","POLYGON ((2.43204385983484 41.5347747925924, 2.4319845886059 41.534906157508, 2.4319573420914 41.5348992169498, 2.43201661336882 41.5347678520484, 2.43204385983484 41.5347747925924))"
"Càrrega i Descàrrega","64,81415","35,30515","12,44419","5,20839","41,5326623184391","2,43470717889786","POLYGON ((2.43475754066172 41.5327098470435, 2.43462677612963 41.5326559142926, 2.43465681720761 41.5326147898127, 2.43478758168261 41.5326687225296, 2.43475754066172 41.5327098470435))"
