ZONA,AREA,PERIMETRE,AMPLADA,ALCADA,LAT,LNG,WKT
"Zona blava","13,55633","15,83896","5,41687","2,50261","41,5332966062983","2,4441424806437","POLYGON ((2.44417345318884 41.5332831697104, 2.44413602109053 41.5333230373775, 2.4441115080858 41.5333100428776, 2.4441489401915 41.5332701752185, 2.44417345318884 41.5332831697104))"
"Zona blava","41,66332","38,15312","16,56078","2,51578","41,5335092517522","2,44394337610683","POLYGON ((2.44401264186432 41.5334546423766, 2.44389881810509 41.5335768536236, 2.44387411023276 41.5335638610847, 2.44398793401519 41.533441649862, 2.44401264186432 41.5334546423766))"
"Zona blava","36,82255","34,94082","15,01862","2,45179","41,5343005637934","2,44409844955426","POLYGON ((2.44415579055236 41.534353859457, 2.44402152818915 41.5342637372423, 2.44404110865015 41.5342472681012, 2.44417537100698 41.5343373902932, 2.44415579055236 41.534353859457))"
"Zona blava","36,98333","35,20957","15,16626","2,43853","41,5343199340963","2,44403989724607","POLYGON ((2.44409752372738 41.5343738875128, 2.44396266661022 41.5342822730673, 2.44398227086037 41.5342659806509, 2.44411712797185 41.5343575950736, 2.44409752372738 41.5343738875128))"
"Zona blava","26,16422","25,88704","10,43654","2,50698","41,5344847554305","2,44410975841274","POLYGON ((2.4440558640322 41.5345111518041, 2.44414181569569 41.5344428454982, 2.4441636527496 41.5344583590312, 2.4440777010882 41.5345266653533, 2.4440558640322 41.5345111518041))"
"Zona blava","248,55284","182,06848","88,21672","2,81753","41,5347185765041","2,44464861785656","POLYGON ((2.44426427509827 41.5344454419315, 2.44505537685361 41.5349727247732, 2.44503296384985 41.534991709799, 2.44424186204857 41.5344644268045, 2.44426427509827 41.5344454419315))"
"Zona blava","54,22677","49,05666","22,07146","2,45687","41,5348587718712","2,44533185350265","POLYGON ((2.44523859377768 41.5349301345292, 2.44540194464644 41.5347737465855, 2.44542511302262 41.5347874091352, 2.44526176217456 41.5349437971117, 2.44523859377768 41.5349301345292))"
"Zona blava","81,99214","72,29393","33,71505","2,43192","41,5352145361054","2,44495835926096","POLYGON ((2.44482227855428 41.5353273204079, 2.44507148844923 41.5350882450403, 2.44509443949445 41.5351017516366, 2.44484522963109 41.5353408270536, 2.44482227855428 41.5353273204079))"
"Zona blava","24,50509","25,70706","10,52533","2,3282","41,5361313984878","2,44198498253131","POLYGON ((2.44203888854132 41.5361046336436, 2.44195112949957 41.5361727490282, 2.441931076477 41.5361581633063, 2.44201883551974 41.5360900479368, 2.44203888854132 41.5361046336436))"
"Zona blava","65,79122","61,80332","28,60138","2,30028","41,5369456174609","2,44202955444367","POLYGON ((2.44191528061073 41.5370421938331, 2.44212181680229 41.5368365603982, 2.44214382793628 41.5368490409713, 2.44193729177387 41.5370546744455, 2.44191528061073 41.5370421938331))"
"Zona blava","56,15405","51,15175","23,15024","2,42564","41,5337646269935","2,44330085771789","POLYGON ((2.4432068036766 41.5336872008525, 2.44341422817819 41.5338257226416, 2.44339491198334 41.5338420530579, 2.44318748747156 41.5337035312343, 2.4432068036766 41.5336872008525))"
"Zona blava","25,21691","25,64926","10,3999","2,42473","41,5337464773007","2,44318281383472","POLYGON ((2.44321961237248 41.5337858270419, 2.44312664907463 41.5337234134319, 2.44314601534139 41.5337071275476, 2.44323897863488 41.5337695411419, 2.44321961237248 41.5337858270419))"
